GeneID,total_counts
ENSMUSG00000102706,124
ENSMUSG00000087247,18759
ENSMUSG00000103845,1046617
ENSMUSG00000033740,2215919
ENSMUSG00000103329,83849
ENSMUSG00000104385,62
ENSMUSG00000102135,261982
ENSMUSG00000103282,0
ENSMUSG00000102534,0
ENSMUSG00000102213,0
ENSMUSG00000103629,69
ENSMUSG00000098201,1835
ENSMUSG00000103509,606811
ENSMUSG00000051285,25321876
ENSMUSG00000048538,1289747
ENSMUSG00000103709,0
ENSMUSG00000077244,0
ENSMUSG00000102768,323
ENSMUSG00000097797,210064
ENSMUSG00000103498,0
ENSMUSG00000103067,621
ENSMUSG00000102320,0
ENSMUSG00000104226,4454
ENSMUSG00000103903,122
ENSMUSG00000103557,0
ENSMUSG00000102647,22488
ENSMUSG00000086235,391328
ENSMUSG00000102253,3190
ENSMUSG00000093970,203
ENSMUSG00000103884,4166
ENSMUSG00000084353,93948
ENSMUSG00000103933,4477
ENSMUSG00000076135,894
ENSMUSG00000086195,18
ENSMUSG00000104504,32
ENSMUSG00000066693,297652
ENSMUSG00000102316,5855
ENSMUSG00000103819,2001
ENSMUSG00000102871,9094
ENSMUSG00000025909,4416649
ENSMUSG00000101571,3640
ENSMUSG00000104428,590
ENSMUSG00000102272,10067
ENSMUSG00000065625,0
ENSMUSG00000103411,3498
ENSMUSG00000061024,2901297
ENSMUSG00000081441,442297
ENSMUSG00000025911,3862025
ENSMUSG00000067879,53985109
ENSMUSG00000079671,4584175
ENSMUSG00000099827,416
ENSMUSG00000025912,504793
ENSMUSG00000045210,14592974
ENSMUSG00000097893,1270485
ENSMUSG00000046334,144648
ENSMUSG00000088916,1595
ENSMUSG00000025915,4342077
ENSMUSG00000046101,385439
ENSMUSG00000093178,3900
ENSMUSG00000098234,1265014
ENSMUSG00000099032,51992
ENSMUSG00000104025,6612
ENSMUSG00000087199,1735
ENSMUSG00000025916,64788
ENSMUSG00000095780,815
ENSMUSG00000025917,7501025
ENSMUSG00000102356,2632
ENSMUSG00000056763,4676368
ENSMUSG00000088153,4240
ENSMUSG00000102556,5173
ENSMUSG00000067851,17101317
ENSMUSG00000103810,371
ENSMUSG00000083422,8947
ENSMUSG00000094979,0
ENSMUSG00000081417,0
ENSMUSG00000042501,65957
ENSMUSG00000103448,69
ENSMUSG00000100212,70190
ENSMUSG00000100648,962
ENSMUSG00000088585,0
ENSMUSG00000077318,188
ENSMUSG00000101827,1980
ENSMUSG00000048960,20402822
ENSMUSG00000103494,0
ENSMUSG00000103825,12591
ENSMUSG00000099845,1420
ENSMUSG00000103561,7829
ENSMUSG00000057715,14684939
ENSMUSG00000101610,28368
ENSMUSG00000093864,340
ENSMUSG00000098555,8
ENSMUSG00000097628,4454
ENSMUSG00000098163,98
ENSMUSG00000101314,0
ENSMUSG00000097171,0
ENSMUSG00000016918,5024660
ENSMUSG00000025938,956033
ENSMUSG00000104518,0
ENSMUSG00000069620,0
ENSMUSG00000099498,23
ENSMUSG00000042414,3289
ENSMUSG00000103506,22516
ENSMUSG00000103495,14257
ENSMUSG00000099183,1018
ENSMUSG00000102639,3697
ENSMUSG00000104170,30617
ENSMUSG00000087782,2960
ENSMUSG00000103085,74954
ENSMUSG00000102664,48591
ENSMUSG00000005886,20820021
ENSMUSG00000101476,7408
ENSMUSG00000101171,60569
ENSMUSG00000025935,4595254
ENSMUSG00000102982,17748
ENSMUSG00000025937,3639302
ENSMUSG00000067813,1382
ENSMUSG00000077368,0
ENSMUSG00000097711,9007
ENSMUSG00000102166,876
ENSMUSG00000089358,0
ENSMUSG00000104209,456
ENSMUSG00000095853,590
ENSMUSG00000102588,765
ENSMUSG00000025932,2244597
ENSMUSG00000025930,189320
ENSMUSG00000054493,176715
ENSMUSG00000103492,106445
ENSMUSG00000081201,5528394
ENSMUSG00000082193,13892
ENSMUSG00000032769,19433
ENSMUSG00000088159,0
ENSMUSG00000073737,18173
ENSMUSG00000102937,11005
ENSMUSG00000104149,5880
ENSMUSG00000088829,265
ENSMUSG00000092083,4614956
ENSMUSG00000077377,74
ENSMUSG00000101652,118
ENSMUSG00000100814,0
ENSMUSG00000025925,1268196
ENSMUSG00000104379,144585
ENSMUSG00000088943,84
ENSMUSG00000032719,118356
ENSMUSG00000100652,134
ENSMUSG00000067795,44678
ENSMUSG00000043716,13981485
ENSMUSG00000025921,1542803
ENSMUSG00000104165,16657
ENSMUSG00000100868,19932
ENSMUSG00000089982,6475
ENSMUSG00000025920,26601264
ENSMUSG00000025939,9762908
ENSMUSG00000102457,255345
ENSMUSG00000079658,14886018
ENSMUSG00000097744,276
ENSMUSG00000100959,413
ENSMUSG00000025940,4534639
ENSMUSG00000025779,89338
ENSMUSG00000100093,272
ENSMUSG00000091020,326898
ENSMUSG00000104133,279
ENSMUSG00000101640,42956
ENSMUSG00000042686,4060624
ENSMUSG00000100110,894
ENSMUSG00000025777,20944478
ENSMUSG00000099899,29813
ENSMUSG00000100272,258
ENSMUSG00000100398,13145
ENSMUSG00000101589,667270
ENSMUSG00000102048,502
ENSMUSG00000089534,0
ENSMUSG00000067780,75908
ENSMUSG00000100053,44013
ENSMUSG00000085125,90487
ENSMUSG00000025776,986457
ENSMUSG00000099895,14543
ENSMUSG00000100554,4358
ENSMUSG00000099591,24844
ENSMUSG00000099473,61610
ENSMUSG00000102001,388
ENSMUSG00000101717,7768
ENSMUSG00000109887,350662
ENSMUSG00000025774,0
ENSMUSG00000070977,0
ENSMUSG00000073735,0
ENSMUSG00000101685,1823
ENSMUSG00000067773,330
ENSMUSG00000101306,0
ENSMUSG00000088800,0
ENSMUSG00000101644,0
ENSMUSG00000099433,0
ENSMUSG00000089787,23081
ENSMUSG00000100720,382009
ENSMUSG00000042596,172180
ENSMUSG00000025927,179078
ENSMUSG00000100538,23
ENSMUSG00000101117,108
ENSMUSG00000100204,561871
ENSMUSG00000084668,0
ENSMUSG00000102597,0
ENSMUSG00000104095,138
ENSMUSG00000089914,11779
ENSMUSG00000090142,2869
ENSMUSG00000070175,0
ENSMUSG00000043760,18330
ENSMUSG00000065559,0
ENSMUSG00000065480,46
ENSMUSG00000099906,6383
ENSMUSG00000025929,137
ENSMUSG00000041872,1813
ENSMUSG00000041859,712309
ENSMUSG00000099714,1236
ENSMUSG00000102121,0
ENSMUSG00000088858,0
ENSMUSG00000097934,25107
ENSMUSG00000077314,1439
ENSMUSG00000025931,28361501
ENSMUSG00000100929,35680
ENSMUSG00000041809,198807
ENSMUSG00000041779,343514
ENSMUSG00000099971,206
ENSMUSG00000100819,24338
ENSMUSG00000025933,3652196
ENSMUSG00000102633,13725
ENSMUSG00000025934,160524
ENSMUSG00000099343,29103
ENSMUSG00000096375,306648
ENSMUSG00000025936,247
ENSMUSG00000093963,0
ENSMUSG00000067750,1729
ENSMUSG00000086194,193
ENSMUSG00000094436,482
ENSMUSG00000041722,4633
ENSMUSG00000085507,1864
ENSMUSG00000094926,1067
ENSMUSG00000085079,4370
ENSMUSG00000085679,86
ENSMUSG00000104138,13968
ENSMUSG00000082935,2336114
ENSMUSG00000103748,45086
ENSMUSG00000028033,26636510
ENSMUSG00000099692,115
ENSMUSG00000100418,0
ENSMUSG00000097642,5600
ENSMUSG00000041670,55318084
ENSMUSG00000101468,0
ENSMUSG00000073730,2165
ENSMUSG00000101227,6094
ENSMUSG00000089553,0
ENSMUSG00000102766,1797
ENSMUSG00000065405,3
ENSMUSG00000065567,2655
ENSMUSG00000097970,34789
ENSMUSG00000100775,754
ENSMUSG00000101226,732
ENSMUSG00000026158,26962664
ENSMUSG00000097920,740
ENSMUSG00000099503,407
ENSMUSG00000026156,11160425
ENSMUSG00000026155,16365639
ENSMUSG00000026154,1019441
ENSMUSG00000102495,138262
ENSMUSG00000026153,6150330
ENSMUSG00000102398,27212
ENSMUSG00000097670,0
ENSMUSG00000026147,73792
ENSMUSG00000077463,0
ENSMUSG00000026141,1563856
ENSMUSG00000099997,219935
ENSMUSG00000100131,1141697
ENSMUSG00000067736,53825
ENSMUSG00000101939,25384101
ENSMUSG00000101111,3087025262
ENSMUSG00000100862,5428805283
ENSMUSG00000102070,3469224346
ENSMUSG00000101249,3523246519
ENSMUSG00000073725,27889437
ENSMUSG00000100808,138
ENSMUSG00000100483,220
ENSMUSG00000100450,276
ENSMUSG00000099392,514
ENSMUSG00000080849,4212
ENSMUSG00000104257,23166
ENSMUSG00000096866,1264
ENSMUSG00000102296,8980
ENSMUSG00000103209,46196
ENSMUSG00000104027,79107
ENSMUSG00000102407,55237
ENSMUSG00000103214,28225
ENSMUSG00000104100,92816
ENSMUSG00000084740,860
ENSMUSG00000103889,15136
ENSMUSG00000101301,4227
ENSMUSG00000104221,21746
ENSMUSG00000102250,28895
ENSMUSG00000102317,90507
ENSMUSG00000103563,65270
ENSMUSG00000102465,77295
ENSMUSG00000102659,52583
ENSMUSG00000103924,67484
ENSMUSG00000104132,26172
ENSMUSG00000102747,31260
ENSMUSG00000102386,21161
ENSMUSG00000103004,10609
ENSMUSG00000033569,22044662
ENSMUSG00000104516,78202
ENSMUSG00000101618,0
ENSMUSG00000099458,0
ENSMUSG00000088111,0
ENSMUSG00000073722,0
ENSMUSG00000095256,0
ENSMUSG00000100310,0
ENSMUSG00000101033,434
ENSMUSG00000101514,789
ENSMUSG00000101372,30655
ENSMUSG00000103241,0
ENSMUSG00000086240,121829
ENSMUSG00000048411,112
ENSMUSG00000081557,43265
ENSMUSG00000058590,0
ENSMUSG00000101235,0
ENSMUSG00000064433,0
ENSMUSG00000080625,0
ENSMUSG00000080391,0
ENSMUSG00000099257,0
ENSMUSG00000099492,7586706
ENSMUSG00000118548,0
ENSMUSG00000101726,138
ENSMUSG00000096829,0
ENSMUSG00000098883,0
ENSMUSG00000053185,5153
ENSMUSG00000100261,1261010
ENSMUSG00000101180,184
ENSMUSG00000103783,11055
ENSMUSG00000104315,32038
ENSMUSG00000048874,21003709
ENSMUSG00000026064,10945869
ENSMUSG00000117310,10916124
ENSMUSG00000117091,138
ENSMUSG00000086726,0
ENSMUSG00000100237,0
ENSMUSG00000098529,0
ENSMUSG00000100910,458
ENSMUSG00000099796,287
ENSMUSG00000050217,474
ENSMUSG00000086727,465
ENSMUSG00000026063,414
ENSMUSG00000077664,0
ENSMUSG00000100205,518
ENSMUSG00000100592,0
ENSMUSG00000094215,1000
ENSMUSG00000101093,0
ENSMUSG00000070960,416801
ENSMUSG00000088620,0
ENSMUSG00000082159,114
ENSMUSG00000064688,96
ENSMUSG00000103482,22144
ENSMUSG00000104498,1561
ENSMUSG00000104313,3809
ENSMUSG00000102865,8306
ENSMUSG00000102321,16309
ENSMUSG00000091318,24801
ENSMUSG00000089489,607
ENSMUSG00000026058,1675150
ENSMUSG00000104433,20167
ENSMUSG00000089395,120
ENSMUSG00000102926,138
ENSMUSG00000100497,0
ENSMUSG00000102917,272
ENSMUSG00000100481,1185064
ENSMUSG00000100590,4140
ENSMUSG00000088750,0
ENSMUSG00000104230,0
ENSMUSG00000101754,0
ENSMUSG00000065223,0
ENSMUSG00000100318,0
ENSMUSG00000101612,9550
ENSMUSG00000065260,66
ENSMUSG00000101682,986
ENSMUSG00000102714,5235
ENSMUSG00000102093,828
ENSMUSG00000026134,1315729
ENSMUSG00000103746,37056
ENSMUSG00000102198,4383
ENSMUSG00000004768,5061521
ENSMUSG00000103072,95176
ENSMUSG00000042215,1259788
ENSMUSG00000042197,10187545
ENSMUSG00000081402,1287962
ENSMUSG00000104416,75539
ENSMUSG00000042182,22576866
ENSMUSG00000103596,12658
ENSMUSG00000099382,475
ENSMUSG00000084506,146
ENSMUSG00000103364,19140
ENSMUSG00000105982,1374
ENSMUSG00000096992,1214963
ENSMUSG00000103001,1682859
ENSMUSG000000261310,105277554
ENSMUSG00000104397,252
ENSMUSG00000102839,0
ENSMUSG00000101206,1077
ENSMUSG00000101462,226396
ENSMUSG00000092852,7178
ENSMUSG00000102336,1628307
ENSMUSG00000042111,3313899
ENSMUSG00000101711,281696
ENSMUSG00000026127,5459921
ENSMUSG00000100280,134999
ENSMUSG00000026126,271776
ENSMUSG00000101223,6480
ENSMUSG00000026125,129
ENSMUSG00000101116,0
ENSMUSG00000101803,0
ENSMUSG00000026124,195
ENSMUSG00000037529,104
ENSMUSG00000045815,6441
ENSMUSG00000045174,5360013
ENSMUSG00000100524,0
ENSMUSG00000102499,45
ENSMUSG00000103521,137
ENSMUSG00000104098,414
ENSMUSG00000102537,2697
ENSMUSG00000102612,1318
ENSMUSG00000118272,901442
ENSMUSG00000104002,13039540
ENSMUSG000000375091,40090634
ENSMUSG00000104358,350035
ENSMUSG00000037503,52078231
ENSMUSG00000026123,46612792
ENSMUSG00000103716,138
ENSMUSG00000103548,1294487
ENSMUSG00000103760,16687
ENSMUSG00000103997,0
ENSMUSG00000077231,70
ENSMUSG00000104417,1490
ENSMUSG00000064601,0
ENSMUSG00000101714,85
ENSMUSG00000102531,33744
ENSMUSG00000103096,0
ENSMUSG00000102279,69
ENSMUSG00000103708,1613
ENSMUSG00000104201,0
ENSMUSG00000102434,1306
ENSMUSG00000104523,1778186
ENSMUSG00000045216,12250582
ENSMUSG00000102202,95514
ENSMUSG00000098752,1100
ENSMUSG00000037470,10905084
ENSMUSG00000047180,179351
ENSMUSG00000037447,1846289
ENSMUSG00000102762,5242
ENSMUSG00000098680,2809
ENSMUSG00000010453,12137333
ENSMUSG00000037432,862070
ENSMUSG00000001143,6070448
ENSMUSG00000104316,11201
ENSMUSG00000106081,43065
ENSMUSG00000037408,2288075
ENSMUSG00000102845,38183
ENSMUSG00000001138,4516665
ENSMUSG00000067653,415919
ENSMUSG00000109510,458870
ENSMUSG00000079610,804940
ENSMUSG00000026121,2140005
ENSMUSG00000087589,266426
ENSMUSG00000089906,97750
ENSMUSG00000077939,0
ENSMUSG00000046337,50238
ENSMUSG00000061518,23610148
ENSMUSG00000037351,35929489
ENSMUSG00000104237,185693
ENSMUSG00000102416,69785
ENSMUSG00000097291,928
ENSMUSG00000026117,170898
ENSMUSG00000103016,437
ENSMUSG00000102930,7636
ENSMUSG00000103159,11750
ENSMUSG00000026116,19009739
ENSMUSG00000080054,8967
ENSMUSG00000095944,0
ENSMUSG00000103603,29472
ENSMUSG00000050122,158879
ENSMUSG00000026114,18160
ENSMUSG00000102231,0
ENSMUSG00000102879,6859
ENSMUSG00000086064,7873
ENSMUSG00000026113,22859687
ENSMUSG00000026112,20465689
ENSMUSG00000026111,3512658
ENSMUSG00000103948,42983
ENSMUSG00000087233,32134
ENSMUSG00000026110,7947028
ENSMUSG00000089767,128309
ENSMUSG00000104365,39610
ENSMUSG00000102650,38938
ENSMUSG00000026090,58124580
ENSMUSG00000060771,2871299
ENSMUSG00000097268,632637
ENSMUSG00000037216,916120
ENSMUSG00000026088,1154814
ENSMUSG00000026087,4467579
ENSMUSG00000061584,5896
ENSMUSG00000087374,199
ENSMUSG00000026085,392
ENSMUSG00000089141,0
ENSMUSG00000058407,6939725
ENSMUSG00000026083,16313064
ENSMUSG00000103804,52954
ENSMUSG00000026082,5303616
ENSMUSG00000102716,624
ENSMUSG00000085391,14397
ENSMUSG00000085280,3368
ENSMUSG00000087131,15883
ENSMUSG00000102984,7468
ENSMUSG00000037138,14581755
ENSMUSG00000102541,226
ENSMUSG00000103531,176
ENSMUSG00000048814,34358776
ENSMUSG00000103647,3910
ENSMUSG00000026080,11514392
ENSMUSG00000102447,133
ENSMUSG00000067604,9462
ENSMUSG00000103046,178955
ENSMUSG00000026078,3843970
ENSMUSG00000104188,1188
ENSMUSG00000103182,1167
ENSMUSG00000098833,188
ENSMUSG00000092553,8107
ENSMUSG00000092563,20263
ENSMUSG00000026077,14109702
ENSMUSG00000073702,2721068
ENSMUSG00000102607,12245
ENSMUSG00000003134,12034127
ENSMUSG00000065629,133
ENSMUSG00000104827,134
ENSMUSG00000003135,5150456
ENSMUSG00000077704,15907
ENSMUSG00000085894,961465
ENSMUSG00000064936,3242
ENSMUSG00000048234,4312044
ENSMUSG00000102471,2153
ENSMUSG00000050967,20094675
ENSMUSG00000097083,1599253
ENSMUSG00000057173,33924
ENSMUSG00000091937,1855
ENSMUSG00000101634,2660
ENSMUSG00000026074,37285672
ENSMUSG00000102985,142179
ENSMUSG00000097899,198823
ENSMUSG00000102975,895
ENSMUSG00000026073,59347
ENSMUSG00000103560,6928
ENSMUSG00000026072,747205
ENSMUSG00000103230,5349
ENSMUSG00000070942,175348
ENSMUSG00000026069,62823
ENSMUSG00000026070,3321
ENSMUSG00000026068,9301
ENSMUSG00000104441,1968
ENSMUSG00000102676,4698
ENSMUSG00000026065,56117
ENSMUSG00000103679,6343
ENSMUSG00000026062,1191839
ENSMUSG00000103270,576582
ENSMUSG00000041945,785375
ENSMUSG00000079588,42967
ENSMUSG00000094136,0
ENSMUSG00000104072,0
ENSMUSG00000100185,0
ENSMUSG00000100832,95361
ENSMUSG00000100178,274
ENSMUSG00000101877,122
ENSMUSG00000053640,4517
ENSMUSG00000101919,768
ENSMUSG00000101299,217012
ENSMUSG00000100180,633
ENSMUSG00000103106,1784
ENSMUSG00000104199,17214
ENSMUSG00000060424,7030457
ENSMUSG00000045515,28350117
ENSMUSG00000097063,321640
ENSMUSG00000093436,1035231
ENSMUSG00000099784,405086
ENSMUSG00000077448,820
ENSMUSG00000060679,4390099
ENSMUSG00000041907,2322215
ENSMUSG00000089088,0
ENSMUSG00000100269,13226
ENSMUSG00000041878,84846
ENSMUSG00000070939,10838353
ENSMUSG00000010290,5173960
ENSMUSG00000094497,250905
ENSMUSG00000008136,3792705
ENSMUSG00000099694,0
ENSMUSG00000099576,0
ENSMUSG00000101923,212
ENSMUSG00000103422,6475
ENSMUSG00000103945,38282
ENSMUSG00000066877,4134265
ENSMUSG00000026051,85376
ENSMUSG00000100635,12744
ENSMUSG00000100764,15313
ENSMUSG00000100480,52627
ENSMUSG00000090243,7271
ENSMUSG00000057363,6331244
ENSMUSG00000100701,2366145
ENSMUSG00000101395,1426
ENSMUSG00000088848,0
ENSMUSG00000095757,0
ENSMUSG00000041763,10990186
ENSMUSG00000090106,0
ENSMUSG00000047343,33991
ENSMUSG00000091844,13831
ENSMUSG00000026049,324618
ENSMUSG00000101104,376316
ENSMUSG00000026047,1201414
ENSMUSG00000041684,3661042
ENSMUSG00000026048,4480970
ENSMUSG00000089703,7239
ENSMUSG00000046828,4058
ENSMUSG00000100966,53
ENSMUSG00000100769,0
ENSMUSG00000101567,129427
ENSMUSG00000102319,10283
ENSMUSG00000089877,1509
ENSMUSG00000101701,191
ENSMUSG00000103071,2673
ENSMUSG00000056870,1442172
ENSMUSG00000100434,0
ENSMUSG00000100013,0
ENSMUSG00000101251,0
ENSMUSG00000101937,202
ENSMUSG00000105211,21511
ENSMUSG00000026043,1278918
ENSMUSG00000104476,2143
ENSMUSG00000026042,896653
ENSMUSG00000100218,63
ENSMUSG00000100361,314
ENSMUSG00000100894,0
ENSMUSG00000095121,0
ENSMUSG00000065255,31
ENSMUSG00000100843,116
ENSMUSG00000087764,0
ENSMUSG00000025995,4606134
ENSMUSG00000099850,1154
ENSMUSG00000084817,4591674
ENSMUSG00000098549,2871
ENSMUSG00000099381,7661
ENSMUSG00000025993,2657112
ENSMUSG00000099946,328
ENSMUSG00000070896,793
ENSMUSG00000090682,3576
ENSMUSG00000044457,0
ENSMUSG00000099432,69
ENSMUSG00000041144,631852
ENSMUSG00000096047,0
ENSMUSG00000101262,171068
ENSMUSG00000101337,759061
ENSMUSG00000100213,364184
ENSMUSG00000103129,7722
ENSMUSG00000025986,47039406
ENSMUSG00000100160,193579
ENSMUSG00000101921,336
ENSMUSG00000101447,1351
ENSMUSG00000081185,911452
ENSMUSG00000103246,2293
ENSMUSG00000098876,344
ENSMUSG00000100530,0
ENSMUSG00000104067,425
ENSMUSG00000100033,798413
ENSMUSG00000094968,168
ENSMUSG00000088017,0
ENSMUSG00000101996,0
ENSMUSG00000096973,274
ENSMUSG00000064943,54
ENSMUSG00000100866,0
ENSMUSG00000101721,0
ENSMUSG00000099376,0
ENSMUSG00000097883,270
ENSMUSG00000092790,0
ENSMUSG00000099698,0
ENSMUSG00000099454,196
ENSMUSG00000051616,0
ENSMUSG00000099627,0
ENSMUSG00000099577,0
ENSMUSG00000099882,0
ENSMUSG00000101760,0
ENSMUSG00000099608,138
ENSMUSG00000099864,0
ENSMUSG00000098249,0
ENSMUSG00000100451,0
ENSMUSG00000099941,0
ENSMUSG00000084531,0
ENSMUSG00000100816,252
ENSMUSG00000100671,31235
ENSMUSG00000092906,917
ENSMUSG00000101242,5716
ENSMUSG00000099924,32539
ENSMUSG00000026109,12070575
ENSMUSG00000099625,43608
ENSMUSG00000045954,2233820
ENSMUSG00000099741,4095
ENSMUSG00000101799,38619
ENSMUSG00000101702,370
ENSMUSG00000026107,1534583
ENSMUSG00000103424,0
ENSMUSG00000099413,26501
ENSMUSG00000101741,9139
ENSMUSG00000101724,1902
ENSMUSG00000100313,6503
ENSMUSG00000018417,11613179
ENSMUSG00000100696,12983
ENSMUSG00000099135,1863
ENSMUSG00000072324,11571
ENSMUSG00000078291,4022
ENSMUSG00000062939,236729
ENSMUSG00000109599,41212
ENSMUSG00000099569,4330
ENSMUSG00000101628,2624702
ENSMUSG00000026104,3938466
ENSMUSG00000026103,41782867
ENSMUSG00000099648,0
ENSMUSG00000065192,50
ENSMUSG00000002881,4778989
ENSMUSG00000097833,6947
ENSMUSG00000101501,11149
ENSMUSG00000099878,1082
ENSMUSG00000100120,7091
ENSMUSG00000100007,95704
ENSMUSG00000043015,651967
ENSMUSG00000103630,45424
ENSMUSG00000100302,7177
ENSMUSG00000041439,17760395
ENSMUSG00000100230,1088
ENSMUSG00000026102,5581566
ENSMUSG00000089802,679
ENSMUSG00000041426,2226946
ENSMUSG00000043629,1834741
ENSMUSG00000026100,35456
ENSMUSG00000089334,0
ENSMUSG00000060715,11104
ENSMUSG00000100763,37610
ENSMUSG00000026098,721297
ENSMUSG00000026097,1104825
ENSMUSG00000100679,776596
ENSMUSG00000026096,2658194
ENSMUSG00000101838,50465
ENSMUSG00000117809,649997
ENSMUSG00000099913,2717246
ENSMUSG00000026095,2945033
ENSMUSG00000100267,0
ENSMUSG00000099450,0
ENSMUSG00000100069,425
ENSMUSG00000092657,0
ENSMUSG00000096141,345685
ENSMUSG00000026094,1715547
ENSMUSG00000102405,503
ENSMUSG00000098443,0
ENSMUSG00000087949,176
ENSMUSG00000102868,30612
ENSMUSG00000042807,14217785
ENSMUSG00000094013,10281
ENSMUSG00000025983,25806
ENSMUSG00000041303,5544635
ENSMUSG00000109809,3158
ENSMUSG00000104136,46933
ENSMUSG00000073678,8802915
ENSMUSG00000101130,2531
ENSMUSG00000102503,5821
ENSMUSG00000101674,104566
ENSMUSG00000089245,327
ENSMUSG00000102642,5406
ENSMUSG00000052331,2443808
ENSMUSG00000025982,48301777
ENSMUSG00000103030,208318
ENSMUSG00000101122,75739
ENSMUSG00000025981,3691797
ENSMUSG00000025980,17900687
ENSMUSG00000073676,4446235
ENSMUSG00000100736,7493
ENSMUSG00000089670,901345
ENSMUSG00000025979,7298660
ENSMUSG00000061863,14603
ENSMUSG00000025978,8759580
ENSMUSG00000097649,1969443
ENSMUSG00000046994,3699000
ENSMUSG00000100215,1869920
ENSMUSG00000025977,8042
ENSMUSG00000101945,508
ENSMUSG00000101085,717
ENSMUSG00000100309,1483046
ENSMUSG00000102145,1730055
ENSMUSG00000102831,9593
ENSMUSG00000038349,6312063
ENSMUSG00000102491,213
ENSMUSG00000099950,26230
ENSMUSG00000100372,130
ENSMUSG00000100944,559674
ENSMUSG00000101332,120
